chunk,env_steps,agent_steps,actor_loss,critic_loss,entropy,completed_episodes,chunk_time_sec,progress_percent,critic_input_mode,clip_range,entropy_coef,did_evaluate,is_best_eval,eval_episode_reward,eval_episode_reward_std,eval_coverage_rate,eval_transport_rate,eval_delivered_cargoes
1,22400,179200,-0.003163716197013855,0.4919555902481079,2.831877088546753,16,109.2441258430481,11.2,global,0.1,0.001,True,True,-3950.2,213.19512189541297,0.225,0.6591669232649071,31.2
2,44800,358400,-0.0030124752782285215,0.24616830945014953,2.846948432922363,32,112.8658618927002,22.4,global,0.1,0.001,True,True,-3863.0,217.4194103570332,0.4,0.6453553885630499,31.8
3,67200,537600,-0.0029953365214169026,0.22052508890628814,2.833612298965454,52,117.7518241405487,33.6,global,0.1,0.001,True,False,-3870.6,639.0278867154391,0.375,0.6573361163820367,31.2
4,89600,716800,-0.0030526835005730392,0.3903612673282623,2.7981940269470216,71,117.59211993217468,44.8,global,0.1,0.001,True,False,-4112.0,250.79553425051253,0.3,0.6778909895923177,31.8
5,112000,896000,-0.0032081032171845437,0.32278876304626464,2.8597193717956544,89,122.78519129753113,56.0,global,0.1,0.001,True,False,-3966.2,222.0057656908937,0.175,0.6619640762463344,31.8
6,134400,1075200,-0.003059606719762087,0.3306150555610657,2.8405715942382814,107,129.87630796432495,67.2,global,0.1,0.001,True,False,-4030.4,433.5867156636605,0.375,0.6699049242424242,31.8
7,156800,1254400,-0.0032097239047288893,0.33672632575035094,2.853547954559326,124,132.92662692070007,78.4,global,0.1,0.001,True,True,-3797.0,441.5287080134201,0.375,0.6363977703984819,31.8
8,179200,1433600,-0.0031742844730615616,0.3921560287475586,2.7772853851318358,144,81.28459000587463,89.6,global,0.1,0.001,True,False,-3983.4,296.4419673393091,0.375,0.6514963235294118,32.4
9,201600,1612800,-0.0031500386074185373,0.355704528093338,2.7492770195007323,163,168.51977586746216,100.8,global,0.1,0.001,True,False,-3923.0,264.56757170900596,0.225,0.666993976050831,31.4
10,201600,1612800,-0.0031500386074185373,0.355704528093338,2.7492770195007323,163,1.6689300537109375e-06,100.8,global,0.1,0.001,True,False,-3800.6,216.92819088352715,0.45,0.6497272849462365,31.2
